Date,Open,High,Low,Close,Adj Close,Volume
1/20/1998,77.8125,78.84375,77.40625,78.8125,47.25943,1744600
1/21/1998,78.09375,78.375,77.28125,77.84375,46.678547,1839600
1/22/1998,77.1875,77.859375,76.9375,77.1875,46.285061,1662600
1/23/1998,77.5,77.75,76.3125,77,46.172623,1693700
1/26/1998,77.375,77.671875,76.9375,77.3125,46.359982,1172800
1/27/1998,77.125,78.5625,77.078125,78.21875,46.9034,1454500
1/28/1998,78.375,79.234375,78.21875,79.125,47.446796,1181200
1/29/1998,79.0625,80.25,78.890625,79.40625,47.615482,1468500
1/30/1998,79.9375,79.9375,78.96875,79.234375,47.512436,1095600
2/2/1998,80.625,81.3125,80.40625,81.015625,48.580574,955600
2/3/1998,81,81.671875,80.65625,81.65625,48.964714,619400
2/4/1998,81.21875,81.65625,80.8125,81.21875,48.702358,753200
2/5/1998,81.8125,81.90625,80.734375,81.234375,48.711731,1067600
2/6/1998,81.5,82.171875,81.359375,82.109375,49.236393,1069700
2/9/1998,82.09375,82.25,81.4375,81.78125,49.039608,515900
2/10/1998,82.03125,83.34375,81.921875,83.15625,49.864166,892100
2/11/1998,82.96875,83.390625,82.84375,83.15625,49.864166,515000
2/12/1998,82.734375,84.109375,82.375,83.6875,50.182682,1065000
2/13/1998,83.34375,83.84375,83.171875,83.640625,50.154655,596700
2/17/1998,84.3125,84.71875,83.890625,84.0625,50.407604,840600
2/18/1998,84.078125,84.703125,83.84375,84.625,50.744877,773000
2/19/1998,84.640625,84.703125,83.828125,83.828125,50.26704,804800
2/20/1998,84.078125,84.46875,83.3125,84.28125,50.538742,540600
2/23/1998,85,85,83.96875,84.25,50.520058,639200
2/24/1998,84.125,84.40625,83.53125,84,50.370087,702700
2/25/1998,84.25,85.15625,84.078125,84.6875,50.782326,687400
2/26/1998,84.609375,85.21875,84.40625,85.15625,51.063427,439800
2/27/1998,85.109375,85.953125,84.890625,85.59375,51.325802,451300
3/2/1998,85.75,85.859375,85.28125,85.71875,51.400738,1062800
3/3/1998,85.21875,86.125,85.1875,86.109375,51.634983,596600
3/4/1998,85.625,85.875,85.109375,85.53125,51.288296,691700
3/5/1998,84.5,85.265625,84.21875,84.78125,50.838573,778300
3/6/1998,85.09375,86.03125,85.09375,86.03125,51.588142,933100
3/9/1998,85.625,86.578125,85.59375,85.875,51.494423,685300
3/10/1998,86.375,86.75,86.15625,86.71875,52.000416,563700
3/11/1998,86.9375,87.234375,86.734375,87,52.169018,406600
3/12/1998,86.9375,87.0625,86.3125,86.890625,52.103481,576700
3/13/1998,87.1875,87.25,86.09375,86.15625,51.663105,458900
3/16/1998,86.5625,87.46875,86.34375,87.46875,52.450119,733000
3/17/1998,87.28125,87.78125,87.078125,87.765625,52.628109,499900
3/18/1998,87.59375,88.015625,87.28125,87.984375,52.759262,410900
3/19/1998,88,88.296875,87.84375,88.234375,52.909222,730000
3/20/1998,88.5625,89.40625,88.28125,89.15625,53.462013,754300
3/23/1998,89.1875,89.1875,88.390625,88.484375,53.059101,551600
3/24/1998,88.96875,89.859375,88.921875,89.4375,53.630703,470300
3/25/1998,90.0625,90.0625,88.25,88.875,53.293335,966200
3/26/1998,88.84375,89.296875,88.515625,88.625,53.143482,412800
3/27/1998,89.34375,89.40625,87.875,88.265625,52.927956,584100
3/30/1998,88.28125,88.5625,87.6875,88.15625,52.86237,562400
3/31/1998,88.46875,89.3125,88.0625,88.1875,52.881092,620000
4/1/1998,88.359375,89.203125,87.71875,88.9375,53.33083,373700
4/2/1998,88.90625,90.25,88.828125,90.15625,54.061661,440600
4/3/1998,90.25,90.578125,89.8125,90.09375,54.024136,493300
4/6/1998,90.875,91.25,90.34375,90.375,54.192837,610500
4/7/1998,90.375,90.390625,89.25,89.890625,53.902344,707300
4/8/1998,90.0625,90.0625,88.828125,89.28125,53.536987,949500
4/9/1998,89.65625,90.46875,89.625,90.375,54.192837,451700
4/13/1998,90.734375,90.734375,89.5625,90.34375,54.174141,337900
4/14/1998,90.53125,91.515625,90.53125,91.4375,54.829922,451500
4/15/1998,91.65625,92.015625,91.203125,92.015625,55.17664,261800
4/16/1998,91.703125,91.703125,90.796875,91.0625,54.605095,232800
4/17/1998,90.734375,91.75,90.578125,91.703125,55.195309,382900
4/20/1998,91.59375,91.65625,91,91.296875,54.950783,299400
4/21/1998,91.25,91.921875,90.96875,91.90625,55.317558,372000
4/22/1998,91.859375,92.109375,91.6875,91.84375,55.279919,503400
4/23/1998,91.71875,92.03125,91.109375,91.3125,54.960205,597700
4/24/1998,91.21875,91.5625,90.0625,90.546875,54.499332,820200
4/27/1998,89.4375,89.875,88.390625,89.25,53.718807,1916800
4/28/1998,90.03125,90.125,88.65625,88.984375,53.558922,437200
4/29/1998,89.28125,89.953125,88.921875,89.421875,53.822311,298700
4/30/1998,90.328125,91.3125,90.21875,90.875,54.69688,443100
5/1/1998,91.09375,91.65625,90.8125,91.65625,55.167095,338300
5/4/1998,91.984375,92.578125,91.8125,91.8125,55.261135,542500
5/5/1998,91.5,91.859375,90.96875,91.484375,55.063663,325600
5/6/1998,91.84375,91.859375,90.28125,90.28125,54.339466,665500
5/7/1998,90.625,90.625,89.71875,89.734375,54.010326,593100
5/8/1998,89.75,90.984375,89.6875,90.9375,54.734474,638100
5/11/1998,91.28125,91.84375,90.6875,90.921875,54.725075,703100
5/12/1998,90.90625,91.921875,90.609375,91.921875,55.327003,479000
5/13/1998,91.90625,92.359375,91.625,92.25,55.524479,399400
