Date,Open,High,Low,Close,Adj Close,Volume
1/19/1998,77.8125,78.84375,76.3125,77,46.172577,6940500
1/26/1998,77.375,80.25,76.9375,79.234375,47.512428,6372600
2/2/1998,80.625,82.171875,80.40625,82.109375,49.236366,4465500
2/9/1998,82.09375,84.109375,81.4375,83.640625,50.154594,3584700
2/16/1998,84.3125,84.71875,83.3125,84.28125,50.538754,2959000
2/23/1998,85,85.953125,83.53125,85.59375,51.325764,2920400
3/2/1998,85.75,86.125,84.21875,86.03125,51.588112,4062500
3/9/1998,85.625,87.25,85.59375,86.15625,51.663029,2691200
3/16/1998,86.5625,89.40625,86.34375,89.15625,53.462013,3128100
3/23/1998,89.1875,90.0625,87.875,88.265625,52.927986,2985000
3/30/1998,88.28125,90.578125,87.6875,90.09375,54.024166,2490000
4/6/1998,90.875,91.25,88.828125,90.375,54.192863,2719000
4/13/1998,90.734375,92.015625,89.5625,91.703125,54.989212,1666900
4/20/1998,91.59375,92.109375,90.0625,90.546875,54.499393,2592700
4/27/1998,89.4375,91.65625,88.390625,91.65625,55.167091,3434100
5/4/1998,91.984375,92.578125,89.6875,90.9375,54.734497,2764800
5/11/1998,91.28125,92.359375,90.609375,90.796875,54.649879,2485300
5/18/1998,90.875,92.171875,90,91.234375,54.967056,1785300
5/25/1998,91.734375,91.84375,87.9375,88.84375,53.526749,2202500
6/1/1998,88.625,90.859375,87.53125,90.859375,54.741112,2960700
6/8/1998,90.75,91.25,86.875,88.5625,53.357296,2617700
6/15/1998,87.5625,89.171875,85.9375,87.078125,52.462963,3034100
6/22/1998,87.1875,90.296875,86.796875,89.6875,54.151592,1286800
6/29/1998,90.1875,90.671875,89.359375,90.296875,54.519558,1304300
7/6/1998,90.3125,91.984375,90.03125,91.234375,55.085571,748400
7/13/1998,91.375,93.625,90.796875,93.328125,56.349712,1386500
7/20/1998,93.546875,93.578125,88.53125,89.4375,54.000668,1576400
7/27/1998,88.96875,90.375,88.015625,88.53125,53.453491,2038300
8/3/1998,88.625,88.921875,83.53125,86.15625,52.019432,4103000
8/10/1998,86,86.40625,83.0625,84.3125,50.906277,3242900
8/17/1998,84.09375,87.90625,83.1875,85.59375,51.679871,3560200
8/24/1998,85.8125,86.875,80.125,80.78125,48.885834,4367200
8/31/1998,81.21875,81.40625,73.875,76.875,46.5219,4980300
9/7/1998,79.1875,80.65625,75,78.71875,47.637642,4446900
9/14/1998,79.421875,81.6875,78.125,78.8125,47.69442,2531400
9/21/1998,76.28125,81.875,76.15625,80.125,48.555882,2665300
9/28/1998,80.9375,81.640625,75.0625,78.15625,47.362816,4521000
10/5/1998,77.34375,79.375,74.46875,79.1875,47.987759,6230800
10/12/1998,80.53125,88,78.6875,84.1875,51.017738,3772900
10/19/1998,84,86.5,83.8125,84.3125,51.093491,3021600
10/26/1998,85,86.609375,83.171875,86.03125,52.135044,2744500
11/2/1998,86.78125,89.9375,86.234375,89.875,54.464417,2899300
11/9/1998,89.84375,89.9375,87.96875,89.5,54.237064,1798800
11/16/1998,90.15625,92,89.03125,91.71875,55.58168,1744700
11/23/1998,92.359375,94.09375,92.25,93.25,56.603256,1260600
11/30/1998,93.046875,93.0625,88.5625,90.5,54.933933,3094300
12/7/1998,90.59375,91,87.265625,87.96875,53.397449,2209900
12/14/1998,87.421875,89.375,86.515625,88.71875,53.852741,2971900
12/21/1998,89.265625,92.515625,89.109375,92.09375,55.99601,1805700
12/28/1998,92.765625,93.53125,91.5,91.53125,55.65403,1945700
1/4/1999,92.078125,96.625,91.046875,96.515625,58.684647,2561200
1/11/1999,96.34375,96.453125,90.71875,93.46875,56.832104,3299600
1/18/1999,94.3125,94.75,90.75,91.3125,55.612804,3688600
1/25/1999,91.390625,94,90.359375,93.28125,56.811874,2130200
2/1/1999,93.984375,94.34375,91.875,93.0625,56.678608,1784600
2/8/1999,93.5,94.34375,90.96875,92.90625,56.583473,2527200
2/15/1999,93.59375,93.984375,91.796875,93.53125,56.964081,2165500
2/22/1999,93.453125,96.125,92.25,92.890625,56.665321,3541700
3/1/1999,93,97.84375,92,97.625,59.553379,2890300
3/8/1999,97.671875,99.859375,96.75,98.640625,60.172924,2496600
3/15/1999,98.90625,100.75,98.5625,98.5625,60.125286,2357300
3/22/1999,98.6875,99.4375,96.171875,98.28125,60.043545,1841000
3/29/1999,99.203125,100.5,97.546875,98.265625,60.033947,1713600
4/5/1999,99.34375,102.59375,98.8125,101.875,62.239033,1767800
4/12/1999,100.625,105.21875,100.625,104.53125,63.861835,7733200
4/19/1999,104.9375,107.625,103.125,107.09375,65.43853,14789000
4/26/1999,107.34375,109.5625,106.40625,107.625,65.763161,11692600
5/3/1999,107.9375,110.4375,107.53125,110.4375,67.481743,11117400
5/10/1999,110.28125,111.5,107,109.125,66.679726,9859200
5/17/1999,108.90625,109.6875,107.625,108.25,66.145126,5194400
5/24/1999,108.6875,108.6875,104.21875,105.140625,64.380676,6152000
5/31/1999,105.203125,108.3125,104.0625,108.21875,66.265465,4296200
6/7/1999,108.375,109.25,104.34375,104.96875,64.275406,3415600
6/14/1999,105.5,108.875,105,108.46875,66.418495,2956700
6/21/1999,108.75,108.96875,104.75,105.734375,64.814003,2103400
6/28/1999,106.5625,111.75,106.25,111.65625,68.443947,3783700
7/5/1999,111.6875,112.5,110.8125,112.0625,68.693016,1864400
7/12/1999,112.59375,112.59375,110.8125,112.03125,68.673889,1623600
7/19/1999,112.375,112.625,108.625,109.0625,66.873817,3192300
7/26/1999,108.71875,110.25,106.3125,106.34375,65.206779,3907400
8/2/1999,106.375,108.34375,105.5,107.09375,65.666664,5800300
8/9/1999,107.1875,110,105.28125,110,67.448708,4847800
8/16/1999,110,111.71875,109.015625,111.15625,68.157623,3486000
8/23/1999,111.71875,113.75,111,111,68.204117,4762900
8/30/1999,111.15625,111.3125,107.375,111.3125,68.396164,4722600
9/6/1999,110.71875,111.875,109.625,110.3125,67.7817,2412000
9/13/1999,110.03125,110.5,106.375,108.375,66.59124,4400100
9/20/1999,108.46875,108.46875,101.4375,102.640625,63.144642,7291800
9/27/1999,103.71875,104.125,100.75,102.59375,63.115772,6786700
10/4/1999,103.375,106.59375,102.65625,106.59375,65.576622,5366300
10/11/1999,106.375,107.125,99.875,100,61.520138,7034800
10/18/1999,100.21875,105.34375,99.5625,104.5,64.309814,6699600
10/25/1999,103.6875,108,102.6875,107.5625,66.194473,5867300
11/1/1999,107.5,108.34375,105.65625,107.53125,66.17527,4278300
11/8/1999,106.375,108.0625,105.40625,108.0625,66.502159,3667800
11/15/1999,107.90625,110.71875,107.28125,110.015625,67.704178,3362400
11/22/1999,110,111.21875,109.40625,109.4375,67.46434,1102700
11/29/1999,109.5625,113.375,108.203125,112.953125,69.631638,2575000
12/6/1999,112.953125,113.125,110.46875,112.46875,69.333015,2568900
12/13/1999,111.71875,113.984375,111.34375,112.8125,69.54493,2669100
12/20/1999,113.25,114.484375,110.9375,114.484375,70.64344,2227800
12/27/1999,114.5625,115.71875,113.84375,115.1875,71.077293,2537600
1/3/2000,116.03125,116.03125,109.03125,115.5,71.270218,11228400
1/10/2000,116.8125,117.5,115.015625,117.5,72.504272,6362600
1/17/2000,116.4375,116.875,112.3125,112.8125,69.611847,3330100
1/24/2000,113.25,113.625,107.140625,107.40625,66.319572,6902900
1/31/2000,107.140625,111.1875,107,109.75,67.766823,3738500
2/7/2000,109.15625,110.34375,103.625,104.5,64.525085,5943800
2/14/2000,105,107.875,102,102.25,63.135799,6077400
2/21/2000,102.875,103.5,98.1875,98.5625,60.933895,10913300
2/28/2000,99.1875,104.546875,98.25,103.875,64.218231,7663700
3/6/2000,103.8125,103.984375,97.15625,99.5625,61.552116,10652600
3/13/2000,96.84375,107.71875,96.84375,106.125,65.609207,12969200
3/20/2000,106.28125,112.46875,105.890625,111.125,68.802147,10354900
3/27/2000,111.34375,111.90625,108.875,109.4375,67.757385,9109700
4/3/2000,109.3125,114.34375,106.34375,110.90625,68.66674,14754200
4/10/2000,111.21875,114.53125,101.515625,102.515625,63.471706,17930700
4/17/2000,102.875,108.78125,102.25,108.78125,67.351059,10978100
4/24/2000,107,111.625,106.75,107.5625,66.624542,9387400
5/1/2000,107.96875,109.34375,103.3125,105.84375,65.559975,6931300
5/8/2000,105.265625,106.9375,102.625,106.25,65.811569,6034800
5/15/2000,106.46875,109.78125,105.515625,106.5625,66.005142,5098200
5/22/2000,106.125,106.34375,102.53125,103.125,63.976589,5324200
5/29/2000,104.125,108.96875,103.53125,107.515625,66.700447,2841500
6/5/2000,107.375,108.734375,105.890625,106.265625,65.924995,3705000
6/12/2000,106.640625,107.75,104.515625,104.515625,64.839287,5647000
6/19/2000,104.765625,106.0625,103.375,104.4375,64.826057,4505900
6/26/2000,104.9375,106.453125,103.34375,104.375,64.787231,3046800
7/3/2000,104.75,106.75,104.0625,106.328125,65.999611,2018100
7/10/2000,106.0625,108.6875,106.0625,108.25,67.192513,4093500
7/17/2000,107.875,109.09375,106.9375,107,66.41658,2931400
7/24/2000,107.375,107.75,104.53125,105,65.267296,2423900
7/31/2000,105.4375,107.734375,104.875,107.5,66.821304,3001000
8/7/2000,107.78125,110.78125,107.359375,110.34375,68.588936,4734700
8/14/2000,110.28125,111.96875,109.765625,110.4375,68.647224,4460700
8/21/2000,110.9375,112.25,110.21875,112.234375,69.841057,2955300
